Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-6483;1260737;Bank Details Main Bank - Approve;High;Manual;Done;12/Aug/22 1:36 PM;PASS;C9012751;C9012751;/HRangers/Bilgilerim/Balkanlar/Regresyon
CONG-6482;1260736;Bank Details Main Bank - Create New;High;Manual;Done;12/Aug/22 1:36 PM;PASS;C9012751;C9012751;/HRangers/Bilgilerim/Balkanlar/Regresyon
CONG-6481;1260735;Bank Details Main Bank - Edit;High;Manual;Done;12/Aug/22 1:34 PM;PASS;C9012751;C9012751;/HRangers/Bilgilerim/Balkanlar/Regresyon
CONG-6480;1260734;Salary - Display - Balkans;High;Generic;Done;12/Aug/22 1:32 PM;PASS;C9012751;C9015118;/HRangers/Bilgilerim/Balkanlar/Regresyon
CONG-6478;1260732;Family Members Spouse/Child - Approve;High;Manual;Done;12/Aug/22 1:30 PM;PASS;C9012751;C9012751;/HRangers/Bilgilerim/Balkanlar/Regresyon
CONG-6476;1260730;Family Members Child - Create New;High;Manual;Done;12/Aug/22 1:28 PM;PASS;C9012751;C9012751;/HRangers/Bilgilerim/Balkanlar/Regresyon
CONG-6472;1260724;Family Members Spouse - Create New;High;Manual;Done;12/Aug/22 1:22 PM;PASS;C9012751;C9012751;/HRangers/Bilgilerim/Balkanlar/Regresyon
CONG-6457;1260549;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 11:07 AM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6456;1260548;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 11:06 AM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6455;1260546;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 11:03 AM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6454;1260545;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 11:02 AM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6453;1260543;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 11:01 AM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6452;1260542;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 11:00 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
CONG-6451;1260541;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 11:00 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
CONG-6450;1260539;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 10:59 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
CONG-6449;1260537;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 10:58 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
CONG-6448;1260535;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 10:57 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
CONG-6447;1260534;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 10:56 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
CONG-6446;1260533;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 10:56 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
CONG-6444;1260077;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 9:59 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
CONG-6443;1260076;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 9:59 AM;TODO;C9013469;C9013469;/Fatura/Polonya/RegresyonSeti
